"id","source","coin","satoshis","wei","usdt","timestamp"
128,0,"VRC",5781,,,1508340939.683
129,0,"GRC",602,,,1508340939.683
130,0,"BTCD",1533000,,,1508340939.683
131,0,"NAUT",1870,,,1508340939.683
132,0,"ETC",208200,,,1508340939.683
133,0,"BTS",1056,,,1508340939.683
134,0,"DASH",5378046,,,1508340939.683
135,0,"NAV",19300,,,1508340939.683
136,0,"ARDR",4249,,,1508340939.683
137,0,"LTC",1052493,,,1508340939.683
138,0,"XCP",153092,,,1508340939.683
139,0,"DGB",193,,,1508340939.683
140,0,"AMP",2314,,,1508340939.683
141,0,"BTC",100000000,,5240,1508341000.31662
142,0,"ETH",5672696,100000000,298.4,1508341000.31662
143,0,"NXT",1201,,,1508341000.31662
144,0,"BTM",8394,,,1508341000.31662
145,0,"MAID",7164,,,1508341000.31662
146,0,"XRP",4160,,,1508341000.31662
147,0,"EXP",33000,,,1508341000.31662
148,0,"STRAT",58999,,,1508341000.31662
149,0,"VTC",29781,,,1508341000.31662
150,0,"DCR",498584,,,1508341000.31662
151,0,"NEOS",42544,,,1508341000.31662
152,0,"PPC",20726,,,1508341000.31662
153,0,"VIA",19842,,,1508341000.31662
154,0,"STEEM",19982,,,1508341000.31662
155,0,"BCY",4900,,,1508341000.31662
156,0,"SBD",18097,,,1508341000.31662
157,0,"GNO",1521047,,,1508341000.31662
158,0,"DOGE",19,,,1508341000.31662
159,0,"PINK",381,,,1508341000.31662
160,0,"RIC",750,,,1508341000.31662
161,0,"BLK",3159,,,1508341000.31662
162,0,"SYS",3489,,,1508341000.31662
163,0,"SJCX",8253,,,1508341000.31662
164,0,"HUC",1232,,,1508341000.31662
165,0,"LSK",91683,,,1508341000.31662
166,0,"CVC",5893,,,1508341000.31662
167,0,"RADS",68116,,,1508341000.31662
168,0,"SC",77,,,1508341000.31662
169,0,"FCT",305477,,,1508341000.31662
170,0,"ZRX",4010,,,1508341000.31662
171,0,"STR",695,,,1508341000.31662
172,0,"XBC",830240,,,1508341000.31662
173,0,"NOTE",697,,,1508341000.31662
174,0,"NXC",4499,,,1508341000.31662
175,0,"BCH",6050000,,,1508341000.31662
176,0,"XVC",4187,,,1508341000.31662
177,0,"GAME",37000,,,1508341000.31662
178,0,"ZEC",4179846,,,1508341000.31662
179,0,"XEM",4080,,,1508341000.31662
180,0,"XMR",1668000,,,1508341000.31662
181,0,"EMC2",1605,,,1508341000.31662
182,0,"REP",341956,,,1508341000.31662
183,0,"POT",1286,,,1508341000.31662
184,0,"NMC",20758,,,1508341000.31662
185,0,"FLDC",158,,,1508341000.31662
186,0,"BCN",25,,,1508341000.31662
187,0,"FLO",1248,,,1508341000.31662
188,0,"XPM",1950,,,1508341000.31662
189,0,"BELA",1825,,,1508341000.31662
190,0,"GAS",390957,,,1508341000.31662
191,0,"CLAM",72912,,,1508341000.31662
192,0,"OMG",147950,,,1508341000.31662
193,0,"LBC",3036,,,1508341000.31662
194,0,"PASC",4631,,,1508341000.31662
195,0,"GNT",3906,,,1508341000.31662
196,0,"OMNI",410052,,,1508341000.31662
197,0,"BURST",119,,,1508341000.31662
198,0,"VRC",5781,,,1508341000.31662
199,0,"GRC",602,,,1508341000.31662
200,0,"BTCD",1533000,,,1508341000.31662
201,0,"NAUT",1870,,,1508341000.31662
202,0,"ETC",208200,,,1508341000.31662
203,0,"BTS",1052,,,1508341000.31662
204,0,"DASH",5384586,,,1508341000.31662
205,0,"NAV",18900,,,1508341000.31662
206,0,"ARDR",4249,,,1508341000.31662
207,0,"LTC",1053157,,,1508341000.31662
208,0,"XCP",153092,,,1508341000.31662
209,0,"DGB",193,,,1508341000.31662
210,0,"AMP",2314,,,1508341000.31662
211,0,"BTC",100000000,,5246.62722957,1508341060.89261
212,0,"ETH",5673727,100000000,298,1508341060.89261
213,0,"NXT",1201,,,1508341060.89261
214,0,"BTM",8394,,,1508341060.89261
215,0,"MAID",7161,,,1508341060.89261
216,0,"XRP",4168,,,1508341060.89261
217,0,"EXP",33000,,,1508341060.89261
